"","text"
"163","Tolong @gopayindonesia tadi sy isi token lewat gobills tp gak ada laporan apa2. Kok saldo gopay saya kepotong??? Tolong dicek. Lumayan itu 50rb"
"164","@PakAjiMumpung @alfamart @gopayindonesia @Indomaret @ovo_id #AjiMumpungItu banyak diskon besar""an dari alfamart + buy 1 get 1 wawww"
"165","@PakAjiMumpung @alfamart @gopayindonesia @Indomaret @ovo_id Setujuu pak #2019AjiMumpung"
"166","#AjiMumpungItu beli ini di @BurgerKing_ID n bayar pake @gopayindonesia , dobel2 brooo https://t.co/UsQOSZZAK5"
"167","@gopayindonesia oh...ok ok tq min"
"168","@gopayindonesia min tgl 12 feb transakai di toy city pim dapat cashback 20% kok hari ini tgl 15 feb kok nggak dapat ya? Terima kasih"
"169","@PakAjiMumpung @alfamart @gopayindonesia @Indomaret @ovo_id Mungkin itu boleh biar kita rakyat yang katanya #AjiMumpungItu makin sejahtera."
"170","Tips #5 untuk pak @PakAjiMumpung karena #AjiMumpungItu isi saldo @gopayindonesia karena ada promo cashback 20% di CFC. Selain itu kalau pake gopay kan nanti kalau bayar @gojekindonesia bisa dapat potongan juga pak <U+0001F602> https://t.co/yFmIAAn1Pj"
"171","Dari mulai promo @gopayindonesia dan juga OVO, apalagi si pakde satu ini kemarin lagi ngadain kuis program bagi bagi gopay @PakAjiMumpung <U+0001F644> #AjimumpungItu #2019AjiMumpung"
"172","@gopayindonesia Dear gopay admin barusan saldo gopay saya hilang 13rb. Pdahal tidak ada transaksi."
"173","@nabielmhibban @gojekindonesia @gopayindonesia Lu ga butuh bpjs kesehatan, lu butuhnya bpjs kesetanan."
"174","@nabielmhibban @gojekindonesia @gopayindonesia Gua kasih tau sama lu bil, ngawur lu terlalu jauh. Yang beginian nih yang gabisa di cover pake bpjs."
"175","@gopayindonesia @gojekindonesia ah jawaban lu gak kocak"
"176","@anggatmpg @gojekindonesia @gopayindonesia gua butuh jawaban dari gojek dan gopay bukan dari goblog ngga. gua ksh tau ya jumlah driver gojek dan pacar gua di Indo 11/12"
"177","Dear Admin,

Mohon konfirmasinya kenapa ya untuk upgrade acc gopay saya selalu rejected? semua sudah sesuai format. Yang salah gue,temen2 gue, atau situ punya sistem? saya mau kirim ke pacar2 saya jd susah, mohon bantuannya <U+0001F64F> @gojekindonesia @gopayindonesia 

Terimakasih"
"178","@PakAjiMumpung @alfamart @gopayindonesia @Indomaret @ovo_id persaingan yang cukup ketat antara kedua minimarket dan dua aplikasi penebar promo kala tanggal gajian.  #2019AjiMumpung"
"179","@PakAjiMumpung @alfamart @gopayindonesia @Indomaret @ovo_id Gabisa menikmati promo pak, gada uang soalnya hehe #2019AjiMumpung"
"180","@aditryan @gopayindonesia Gw bisa dimarahin Mbak @mrshananto ngetweet begitu :))"
"181","Nabung saldo @gopayindonesia adalah bentuk investasi agar tidak kelaparan."
"182","@aditryan @gopayindonesia @mrshananto Yang penting reksadana juga ikut ditop-up, Kak. *kemudian ikut sungkem*"
"183","@malarea @gopayindonesia Truuu.. :))"
